FEATURE1,FEATURE2,FEATURE3,FEATURE4,FEATURE5,FEATURE6,FEATURE7,FEATURE8,FEATURE9,FEATURE10,FEATURE11,FEATURE12,FEATURE13,FEATURE14,FEATURE15,FEATURE16,FEATURE17,FEATURE18,FEATURE19,FEATURE20,FEATURE21,FEATURE22,FEATURE23,FEATURE24,FEATURE25,FEATURE26,FEATURE27,FEATURE28
2,32,28,0,0,0,0,0,0,2,0,14,158,1,0,1,0,1,0,0,1,70,900,2,1,1,0,1
1,72,26,0,0,0,1,0,0,1,0,20,349,0,0,0,0,0,0,0,0,90,1100,1,0,0,1,0
1,62,27,0,0,0,0,0,0,2,0,14,153,1,0,1,0,1,0,0,0,100,1200,2,1,0,0,1
2,63,23,0,0,0,1,1,1,1,0,20,360,0,0,0,0,0,0,0,0,60,800,2,0,1,1,0
1,37,21,0,0,0,1,0,0,2,0,21,379,0,1,0,1,0,0,0,0,40,600,1,0,0,0,1
1,55,26,0,1,0,0,2,1,1,0,20,364,0,0,1,0,1,0,0,0,80,1000,2,0,0,1,0
1,55,27,0,0,0,0,0,0,2,0,16,206,0,0,0,0,0,1,0,1,80,1000,2,0,0,0,1
2,47,25,0,0,0,1,2,1,1,0,13,127,0,0,0,0,0,1,0,1,70,900,2,0,1,1,0
1,38,28,0,0,0,0,0,0,2,0,14,156,0,0,0,0,0,0,0,1,60,800,1,0,0,0,1
1,35,24,0,0,0,0,0,0,1,0,18,252,0,0,0,0,0,0,0,0,80,1000,1,0,0,1,0
1,58,21,1,0,0,0,2,1,2,0,21,393,0,0,0,0,1,0,0,0,50,700,1,0,0,0,1
1,37,22,0,0,0,0,0,0,1,0,12,114,0,0,0,0,0,0,0,0,60,800,2,0,0,1,0
1,53,24,0,0,0,1,0,0,2,0,20,343,0,0,0,0,0,0,0,0,60,800,2,0,0,0,1
1,58,22,1,0,1,0,0,0,1,0,15,173,0,0,0,0,0,0,0,0,80,1000,1,0,0,1,0
2,46,27,0,0,0,1,0,0,3,1,17,220,0,0,0,0,0,0,1,0,100,1600,2,0,1,1,1
1,61,23,0,0,0,0,1,1,1,0,14,157,0,0,0,0,0,0,0,0,80,1000,2,0,0,1,0
1,62,25,0,0,0,0,1,1,2,0,12,103,0,0,0,0,0,0,0,1,90,1100,1,0,0,0,1
1,46,24,0,0,0,1,1,1,1,0,18,261,1,1,1,1,1,0,0,0,110,1300,2,1,0,1,0
1,61,25,0,0,0,0,0,0,2,0,15,184,0,0,0,0,0,0,0,1,90,1100,2,0,0,0,1
2,56,23,1,0,0,1,0,0,1,0,16,205,0,0,0,0,0,0,0,1,50,700,2,0,1,1,0
1,28,23,0,0,0,1,0,0,2,0,21,389,0,0,1,0,0,0,0,0,100,1200,1,1,0,0,1
1,21,28,0,0,0,0,0,0,1,0,17,217,0,1,0,1,0,0,0,0,60,800,1,0,0,1,0
2,63,23,1,0,1,1,0,0,2,0,18,244,0,0,0,0,0,0,0,0,100,1200,2,0,1,0,1
